KrakenDB,NCBI_Parent
1000000938,11819
1000000939,60879
1000000940,60879
1000000941,11830
1000000942,11830
1000000943,11834
1000000944,11834
1000000945,12268
1000000946,12268
1000000947,12268
1000000948,11855
1000000949,11855
1000000950,12639
1000000951,12639
1000000952,11840
1000000953,11840
1000000954,59817
1000000955,59817
1000000956,59817
1000000957,59817
1000000958,59817
1000000959,59817
1000000960,59817
1000000961,59817
1000000962,59817
1000000963,11856
1000000964,11856
1000000965,11867
1000000966,11867
1000000967,35286
1000000968,35286
1000000969,77775
1000000970,77775
1000000971,11878
1000000972,11878
1000000973,11884
1000000974,11884
1000000975,11886
1000000976,11886
1000000977,12627
1000000978,12627
1000000979,11901
1000000980,11901
1000000981,11885
1000000982,11885
1000000983,11908
1000000984,11908
1000000985,11909
1000000986,11909
1000000987,35287
1000000988,35287
1000000989,11978
1000000990,11978
1000000991,11970
1000000992,11970
1000000993,11946
1000000994,11946
1000000995,11976
1000000996,11976
1000000997,62079
1000000998,62079
1000000999,62079
1000001000,11958
1000001001,11958
1000001002,11986
1000001003,11986
1000001004,11987
1000001005,11987
1000001006,11988
1000001007,11988
1000001008,71030
1000001009,71030
1000001010,12018
1000001011,12018
1000001012,12022
1000001013,12022
1000001014,159151
1000001015,159151
1000001016,159151
1000001017,159151
1000001018,12024
1000001019,12024
1000001020,12023
1000001021,12023
1000001022,12027
1000001023,12027
1000001024,12041
1000001025,12041
1000001026,12273
1000001027,12273
1000001028,12273
1000001029,12042
1000001030,12042
1000001031,12618
1000001032,12618
1000001033,12045
1000001034,12045
1000001035,35288
1000001036,35288
1000001037,12049
1000001038,12049
1000001039,12055
1000001040,12055
1000001041,12063
1000001042,12063
1000001043,12657
1000001044,12657
1000001045,12056
1000001046,12056
1000001047,12274
1000001048,12274
1000001049,12274
1000001050,12092
1000001051,12092
1000001052,12072
1000001053,12072
1000001054,12064
1000001055,12064
1000001056,12104
1000001057,12104
1000001058,12118
1000001059,12118
1000001060,12136
1000001061,12136
1000001062,12643
1000001063,12643
1000001064,12131
1000001065,12131
1000001066,62099
1000001067,62099
1000001068,46014
1000001069,46014
1000001070,12138
1000001071,12138
1000001072,12139
1000001073,12139
1000001074,12144
1000001075,12144
1000001076,12142
1000001077,12142
1000001078,12730
1000001079,12730
1000001080,12143
1000001081,12143
1000001082,40522
1000001083,40522
1000001084,12260
1000001085,12260
1000001086,12260
1000001087,12151
1000001088,12151
1000001089,35289
1000001090,35289
1000001091,12145
1000001092,12145
1000001093,46619
1000001094,46619
1000001095,12152
1000001096,12152
1000001097,12153
1000001098,12153
1000001099,160358
1000001100,160358
1000001101,12154
1000001102,12154
1000001103,12161
1000001104,12161
1000001105,12158
1000001106,12158
1000001107,12162
1000001108,12162
1000001109,12675
1000001110,12675
1000001111,12675
1000001112,12675
1000001113,12165
1000001114,12165
1000001115,31559
1000001116,31559
1000001117,12167
1000001118,12167
1000001119,12166
1000001120,12166
1000001121,12275
1000001122,12275
1000001123,12275
1000001124,12169
1000001125,12169
1000001126,12742
1000001127,12742
1000001128,12173
1000001129,12173
1000001130,12175
1000001131,12175
1000001132,31533
1000001133,31533
1000001134,12177
1000001135,12177
1000001136,35291
1000001137,35291
1000001138,12179
1000001139,12179
1000001140,12180
1000001141,12180
1000001142,12181
1000001143,12181
1000001144,12178
1000001145,12178
1000001146,12777
1000001147,12777
1000001148,12182
1000001149,12182
1000001150,62352
1000001151,62352
1000001152,62352
1000001153,62352
1000001154,62352
1000001155,62352
1000001156,62352
1000001157,62352
1000001158,62352
1000001159,62352
1000001160,62352
1000001161,62352
1000001162,62352
1000001163,12183
1000001164,12183
1000001165,83872
1000001166,83872
1000001167,83872
1000001168,83872
1000001169,12187
1000001170,12187
1000001171,152217
1000001172,152217
1000001173,12188
1000001174,12188
1000001175,12194
1000001176,12194
1000001177,12196
1000001178,12196
1000001179,12261
1000001180,12261
1000001181,12261
1000001182,12197
1000001183,12197
1000001184,12809
1000001185,12809
1000001186,12809
1000001187,12198
1000001188,12198
1000001189,12199
1000001190,12199
1000001191,12211
1000001192,12211
1000001193,12202
1000001194,12202
1000001195,12201
1000001196,12201
1000001197,63330
1000001198,63330
1000001199,12203
1000001200,12203
1000001201,12205
1000001202,12205
1000001203,12204
1000001204,12204
1000001205,12216
1000001206,12216
1000001207,129141
1000001208,129141
1000001209,12215
1000001210,12215
1000001211,12222
1000001212,12222
1000001213,40537
1000001214,40537
1000001215,12224
1000001216,12224
1000001217,12783
1000001218,12783
1000001219,12227
1000001220,12227
1000001221,35297
1000001222,35297
1000001223,35297
1000001224,12228
1000001225,12228
1000001226,84589
1000001227,84589
1000001228,12262
1000001229,12262
1000001230,12262
1000001231,12230
1000001232,12230
1000001233,12232
1000001234,12232
1000001235,12844
1000001236,12844
1000001237,12280
1000001238,12280
1000001239,12280
1000001240,12282
1000001241,12282
1000001242,12282
1000001243,12302
1000001244,12302
1000001245,12302
1000001246,12302
1000001247,12285
1000001248,12285
1000001249,12285
1000001250,12287
1000001251,12287
1000001252,12287
1000001253,12286
1000001254,12286
1000001255,12286
1000001256,12288
1000001257,12288
1000001258,12288
1000001259,12294
1000001260,12294
1000001261,12294
1000001262,12305
1000001263,12305
1000001264,12305
1000001265,12305
1000001266,63723
1000001267,63723
1000001268,63723
1000001269,12313
1000001270,12313
1000001271,12313
1000001272,12313
1000001273,12315
1000001274,12315
1000001275,12315
1000001276,12315
1000001277,12317
1000001278,12317
1000001279,12317
1000001280,12317
1000001281,12327
1000001282,12327
1000001283,12327
1000001284,12327
1000001285,63746
1000001286,63746
1000001287,35306
1000001288,35306
1000001289,35306
1000001290,35306
1000001291,12331
1000001292,12331
1000001293,12331
1000001294,12331
1000001295,12331
1000001296,12451
1000001297,12451
1000001298,12451
1000001299,293284
